SDS-Number,Product Name,Manufacturer,SDS-Number,LL Number,Chemical Component,CAS Number,% Context,Min %,Max %,Avg %,% Range,SARA 313 %
SDS-002496,DRI Oxycodone Calibrators and Controls,"Thermo Fisher Scientific, Inc.",SDS-002496,,Sodium Azide,26628-22-8,Less Than (Max),0.00%,0.09%,0.05%,<=0.09%,0.00%
SDS-003101,DRI pH Detect Test,"Thermo Fisher Scientific, Inc.",SDS-003101,,Non-Hazardous Reagent(s), ,n/a,100.00%,100.00%,100.00%,~100%,0.00%
SDS-004925,DRI Technology SDS,"Thermo Fisher Scientific, Inc.",SDS-004925,,Tris-Hydrochloride,1185-53-1,n/a,2.00%,3.00%,2.50%,2 - 3%,0.00%
SDS-004925,DRI Technology SDS,"Thermo Fisher Scientific, Inc.",SDS-004925,,Tromethamine (Tris {hydroxy methyl} aminomethane),77-86-1,n/a,1.00%,2.00%,1.50%,1 - 2%,0.00%
SDS-004925,DRI Technology SDS,"Thermo Fisher Scientific, Inc.",SDS-004925,,Drug-specific antibody, ,n/a,0.10%,0.50%,0.30%,0.1 - 0.5%,0.00%
SDS-004925,DRI Technology SDS,"Thermo Fisher Scientific, Inc.",SDS-004925,,Bovine Serum Albumin,9048-46-8,Less Than (Max),0.00%,0.20%,0.10%,?0.2%,0.00%
SDS-004925,DRI Technology SDS,"Thermo Fisher Scientific, Inc.",SDS-004925,,Sodium Azide,26628-22-8,Less Than (Max),0.00%,0.09%,0.05%,?0.09%,0.00%
SDS-009217,Dropper Urine Chemistry Control,Quantimetrix Corp.,SDS-009217,14760,"Mixture, 3(2H)-Isothiazolone, 5-Chloro-2-Methyl- With 2-Methyl-3(2H)-Isothiazolone",55965-84-9,n/a,3.00%,3.00%,3.00%,"0,003%",0.00%
SDS-006355,Dr. Schitz,Texeuro Industrial Sales Ltd.,SDS-006355,,Hydrogen Chloride,7647-01-0,n/a,10.00%,30.00%,20.00%,10-30%,0.00%
SDS-006355,Dr. Schitz,Texeuro Industrial Sales Ltd.,SDS-006355,,Ethoxylated Alcohol,68131-39-5,n/a,1.00%,5.00%,3.00%,1-5%,0.00%
SDS-007575,dRVVT CONFIRMATORY REAGENT,Instrumentation Laboratory Co.,SDS-007575,,Bovine Material, ,Blank (percentage not specified),0.00%,100.00%,50.00%, ,0.00%
SDS-007575,dRVVT CONFIRMATORY REAGENT,Instrumentation Laboratory Co.,SDS-007575,,Organic And Inorganic Compounds, ,Blank (percentage not specified),0.00%,100.00%,50.00%, ,0.00%
SDS-007575,dRVVT CONFIRMATORY REAGENT,Instrumentation Laboratory Co.,SDS-007575,,Russell Viper Venom Crude Extract, ,Blank (percentage not specified),0.00%,100.00%,50.00%, ,0.00%
SDS-007575,dRVVT CONFIRMATORY REAGENT,Instrumentation Laboratory Co.,SDS-007575,,Calcium Chloride. Dihydrate,10035-04-8,n/a,0.70%,0.80%,0.75%,0.7 - 0.8%,0.00%
SDS-007575,dRVVT CONFIRMATORY REAGENT,Instrumentation Laboratory Co.,SDS-007575,,Calcium Chloride Anhydr,10043-52-4,n/a,0.70%,0.80%,0.75%,0.7 - 0.8%,0.00%
SDS-007575,dRVVT CONFIRMATORY REAGENT,Instrumentation Laboratory Co.,SDS-007575,,Cetrimonium Bromide,57-09-0,n/a,0.01%,0.02%,0.02%,0.01 - 0.02%,0.00%
SDS-007575,dRVVT CONFIRMATORY REAGENT,Instrumentation Laboratory Co.,SDS-007575,,2-pyridinethiol-1-oxide sodium salt (sodium pyrithione; sodium omadine),3811-73-2,n/a,0.01%,0.01%,0.01%,0.01 - 0.012%,0.00%
SDS-007575,dRVVT CONFIRMATORY REAGENT,Instrumentation Laboratory Co.,SDS-007575,,Eosin Y,17372-87-1,Less Than (Max),0.00%,0.00%,0.00%,<0.001%,0.00%
SDS-007575,dRVVT CONFIRMATORY REAGENT,Instrumentation Laboratory Co.,SDS-007575,,F.D. & C. Yellow n. 5 (Tartrazine),1934-21-0,Less Than (Max),0.00%,0.00%,0.00%,<0.001%,0.00%
SDS-007576,dRVVT SCREEN REAGENT,Instrumentation Laboratory Co.,SDS-007576,,Bovine Material, ,Blank (percentage not specified),0.00%,100.00%,50.00%, ,0.00%
SDS-007576,dRVVT SCREEN REAGENT,Instrumentation Laboratory Co.,SDS-007576,,Organic And Inorganic Compounds, ,Blank (percentage not specified),0.00%,100.00%,50.00%, ,0.00%
SDS-007576,dRVVT SCREEN REAGENT,Instrumentation Laboratory Co.,SDS-007576,,Calcium Chloride. Dihydrate,10035-04-8,n/a,0.50%,0.60%,0.55%,0.5 - 0.6%,0.00%
SDS-007576,dRVVT SCREEN REAGENT,Instrumentation Laboratory Co.,SDS-007576,,Calcium Chloride Anhydr,10043-52-4,n/a,0.50%,0.60%,0.55%,0.5 - 0.6%,0.00%
SDS-007576,dRVVT SCREEN REAGENT,Instrumentation Laboratory Co.,SDS-007576,,Cetrimonium Bromide,57-09-0,n/a,0.01%,0.02%,0.02%,0.01 - 0.02%,0.00%
SDS-007576,dRVVT SCREEN REAGENT,Instrumentation Laboratory Co.,SDS-007576,,2-pyridinethiol-1-oxide sodium salt (sodium pyrithione; sodium omadine),3811-73-2,Less Than (Max),0.00%,0.02%,0.01%,<0.02%,0.00%
SDS-007576,dRVVT SCREEN REAGENT,Instrumentation Laboratory Co.,SDS-007576,,Russell Viper Venom Crude Extract, ,Less Than (Max),0.00%,0.00%,0.00%,<0.001%,0.00%
SDS-007576,dRVVT SCREEN REAGENT,Instrumentation Laboratory Co.,SDS-007576,,F.D. & C. Yellow n. 5 (Tartrazine),1934-21-0,Less Than (Max),0.00%,0.00%,0.00%,<0.001%,0.00%
SDS-009624,Dry Chemical Hand Portable Extinguishers,Tyco International,SDS-009624,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-006396,DS-30 INSTALL STD FOR 3130 <(>&<)> 3100 SERIES SYSTEMS,Applied Biosystems,SDS-006396,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-004840,"Dulbecco’s Phosphate-Buffered Saline, 10X; With Calcium And Magnesium",Mediatech,SDS-004840,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-004841,"Dulbecco’s Phosphate-Buffered Saline, 10X; without calcium & magnesium",Mediatech,SDS-004841,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-004849,"Dulbecco’s Phosphate-Buffered Saline, 1X; without calcium & magnesium",Mediatech,SDS-004849,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-002480,DuPont RelyOn Disinfectant Solution and Instrument Pre-Soak,E.I. DuPont De Nemours & Co. (Dupont),SDS-002480,,Isopropyl Alcohol,67-63-0,n/a,70.00%,70.00%,70.00%,70%,0.00%
SDS-002480,DuPont RelyOn Disinfectant Solution and Instrument Pre-Soak,E.I. DuPont De Nemours & Co. (Dupont),SDS-002480,,Water,7732-18-5,Less Than (Max),0.00%,24.00%,12.00%,<24 %,0.00%
SDS-002480,DuPont RelyOn Disinfectant Solution and Instrument Pre-Soak,E.I. DuPont De Nemours & Co. (Dupont),SDS-002480,,Propylene Glycol,57-55-6,n/a,6.00%,12.00%,9.00%,6-12%,0.00%
SDS-006291,Dust Destroyer Compressed-Gas Duster,"Falcon Safety Products, Inc.",SDS-006291,,"Ethane, 1, 1-Difluoro",75-37-6,Pure Chemical,100.00%,100.00%,100.00%,100%,0.00%
SDS-004927,Dust Destroyer Compressed Gas Duster,"Falcon Safety Products, Inc.",SDS-004927,,"Ethane, 1, 1-Difluoro",75-37-6,Pure Chemical,100.00%,100.00%,100.00%,100%,0.00%
SDS-009233,Duster Aerosol Dust Removal System,"CRC Industries, Inc.",SDS-009233,,"1,1,1,2-Tetrafluoroethane",811-97-2,Pure Chemical,100.00%,100.00%,100.00%,100%,0.00%
SDS-008338,D-Xylose,"AquaPhoenix Scientific, Inc.",SDS-008338,,D-(+)-Xylose,58-86-6,Greater Than (Min),98.00%,100.00%,99.00%,>98%,0.00%
SDS-006292,E-1958,"Buckman Laboratories International, Inc.",SDS-006292,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-006293,E-1959,"Buckman Laboratories International, Inc.",SDS-006293,,Octylphenoxypolyethoxyethanol,9036-19-5,n/a,1.00%,5.00%,3.00%,1.0 - 5.0%,0.00%
SDS-006294,Eclipse 506,"Buckman Laboratories International, Inc.",SDS-006294,,Sodium Molybdate,7631-95-0,n/a,1.00%,5.00%,3.00%,1.0 - 5.0%,0.00%
SDS-006294,Eclipse 506,"Buckman Laboratories International, Inc.",SDS-006294,,Sodium Metaborate,7775-19-1,n/a,1.00%,5.00%,3.00%,1.0 - 5.0%,0.00%
SDS-008840,"EcoTergent, cobas c311",F. Hoffmann-La Roche AG,SDS-008840,,"1-Decanaminium, N-decyl-N,N-dimethyl-, hexanedioate (2:1)",210420-85-2,n/a,1.00%,5.00%,3.00%,>=1 - <5%,0.00%
SDS-008840,"EcoTergent, cobas c311",F. Hoffmann-La Roche AG,SDS-008840,,"N-(3-Aminopropyl)-N-Dodecylpropane-1,3-Diamine",2372-82-9,n/a,1.00%,5.00%,3.00%,>=1 - <5%,0.00%
SDS-001180,ECP Calibrators (Cal-XX),Phadia AB,SDS-001180,,Human ECP In Buffer, ,n/a,100.00%,100.00%,100.00%,100%,0.00%
SDS-001180,ECP Calibrators (Cal-XX),Phadia AB,SDS-001180,,Sodium Azide,26628-22-8,Less Than (Max),0.00%,0.05%,0.03%,< 0.05%,0.00%
SDS-001181,EDDP-D3 perchlorate solution,Sigma-Aldrich Corp.,SDS-001181,,Methanol,67-56-1,n/a,99.99%,99.99%,99.99%,99.99%,0.00%
SDS-001181,EDDP-D3 perchlorate solution,Sigma-Aldrich Corp.,SDS-001181,,EDDP-D3 Perchlorate,136765-23-6,n/a,0.01%,0.01%,0.01%,0.01%,0.00%
SDS-004928,EDDP perchlorate solution,Sigma-Aldrich Corp.,SDS-004928,,Methanol,67-56-1,n/a,99.90%,99.90%,99.90%,99.90%,0.00%
SDS-004928,EDDP perchlorate solution,Sigma-Aldrich Corp.,SDS-004928,,"2-Ethylidene-1,5-dimethyl-3,3-diphenylpyrrolidine perchlorate",66729-78-0,n/a,0.10%,0.10%,0.10%,0.10%,0.00%
SDS-006387,EDTA 0.5M Solution,"Amresco, LLC",SDS-006387,,"EDTA, Disodium Dihydrate",6381-92-6,n/a,10.00%,20.00%,15.00%,10-20%,0.00%
SDS-006387,EDTA 0.5M Solution,"Amresco, LLC",SDS-006387,,Sodium Hydroxide,1310-73-2,n/a,5.00%,10.00%,7.50%,5-10%,0.00%
SDS-004570,Electrode Skin Prep Pads,Dynarex Corp.,SDS-004570,10135579,Isopropyl Alcohol,67-63-0,Greater Than (Min),60.00%,100.00%,80.00%,>60%,0.00%
SDS-006023,Electrode Storage Solution,"Thermo Fisher Scientific, Inc.",SDS-006023,,Water,7732-18-5,n/a,98.40%,98.40%,98.40%,98.40%,0.00%
SDS-006023,Electrode Storage Solution,"Thermo Fisher Scientific, Inc.",SDS-006023,,"1,2-Benzenedicarboxylic Acid, Monopotassium Salt",877-24-7,n/a,1.00%,1.00%,1.00%,1%,0.00%
SDS-006023,Electrode Storage Solution,"Thermo Fisher Scientific, Inc.",SDS-006023,,Potassium Chloride,7447-40-7,n/a,0.60%,0.60%,0.60%,0.60%,0.00%
SDS-006024,ELIMINase,"Decon Laboratories, Inc.",SDS-006024,,Caustic Potash 45% Liquid,1310-58-3,Blank (percentage not specified),0.00%,100.00%,50.00%, ,0.00%
SDS-006024,ELIMINase,"Decon Laboratories, Inc.",SDS-006024,,Sodium Citrate Dihydrate,68-04-2,Blank (percentage not specified),0.00%,100.00%,50.00%, ,0.00%
SDS-006024,ELIMINase,"Decon Laboratories, Inc.",SDS-006024,,Water Softened,7732-18-5,Blank (percentage not specified),0.00%,100.00%,50.00%, ,0.00%
SDS-006024,ELIMINase,"Decon Laboratories, Inc.",SDS-006024,,DDBSA,68584-22-5,Trace,0.00%,0.01%,0.01%,Trace,0.00%
SDS-006024,ELIMINase,"Decon Laboratories, Inc.",SDS-006024,,Calfoam ES-303 (Steol 330),68585-34-2,Trace,0.00%,0.01%,0.01%,Trace,0.00%
SDS-006025,ELISA Test Systems,Euroimmun AG,SDS-006025,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-003884,Elmer's Sticky-Out,"Elmer's Products, Inc.",SDS-003884,,Water,7732-18-5,n/a,60.00%,100.00%,80.00%,60-100%,0.00%
SDS-003884,Elmer's Sticky-Out,"Elmer's Products, Inc.",SDS-003884,,Sodium Metasilicate Pentahydrate,10213-79-3,n/a,1.00%,5.00%,3.00%,1-5%,0.00%
SDS-003884,Elmer's Sticky-Out,"Elmer's Products, Inc.",SDS-003884,,"2-Propanol, 1-Propoxy",1569-01-3,n/a,1.00%,5.00%,3.00%,1-5%,0.00%
SDS-003884,Elmer's Sticky-Out,"Elmer's Products, Inc.",SDS-003884,,Dodecyl Benzene Sulfonic Acid,27176-87-0,n/a,1.00%,5.00%,3.00%,1-5%,0.00%
SDS-003884,Elmer's Sticky-Out,"Elmer's Products, Inc.",SDS-003884,,"Alcohols, C6-12, ethoxylated",68439-45-2,n/a,1.00%,5.00%,3.00%,1-5%,0.00%
SDS-003884,Elmer's Sticky-Out,"Elmer's Products, Inc.",SDS-003884,,Tetrasodium EDTA,64-02-8,n/a,0.50%,1.50%,1.00%,0.5-1.5%,0.00%
SDS-003884,Elmer's Sticky-Out,"Elmer's Products, Inc.",SDS-003884,,D-Limonene (DIPENTINE),5989-27-5,n/a,0.10%,1.00%,0.55%,0.1-1%,0.00%
SDS-005712,Elution Buffer (BD MAX Cdiff Assay),GeneOhm Sciences Canada,SDS-005712,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-006270,Elution Solution (BD Viper Extraction Reagent & Lysis Troughs),"BD (Becton, Dickinson & Co.)",SDS-006270,,Potassium Hydroxide,1310-58-3,n/a,13.60%,13.60%,13.60%,13.60%,0.00%
SDS-002284,"Emit Calibrators/Controls Levels 0,1,2,3,4 and 5",Siemens AG,SDS-002284,10103734,Methanol,67-56-1,n/a,0.00%,0.60%,0.30%,0 - 0.599%,0.00%
SDS-002201,Endothall-PFPH Solution,Ultra Scientific,SDS-002201,,Tert-Butylmethyl Ether (MTBE),1634-04-4,n/a,99.99%,99.99%,99.99%,99.99%,0.00%
SDS-002201,Endothall-PFPH Solution,Ultra Scientific,SDS-002201,,Endothall-PFPH, ,n/a,0.01%,0.01%,0.01%,0.01%,0.00%
SDS-002175,ENDURE 300 CIDA RINSE GEL ANTIMICROBIAL HAND RINSE,"Ecolab, Inc.",SDS-002175,,Ethanol,64-17-5,n/a,60.00%,100.00%,80.00%,60-100%,0.00%
SDS-002175,ENDURE 300 CIDA RINSE GEL ANTIMICROBIAL HAND RINSE,"Ecolab, Inc.",SDS-002175,,lsopropyl Alcohol,67-63-0,n/a,5.00%,10.00%,7.50%,5-10%,0.00%
SDS-005352,Enhanced Gram Crystal Violet,"Thermo Fisher Scientific, Inc.",SDS-005352,,Ethyl Alcohol,64-17-5,n/a,8.00%,8.00%,8.00%,8.00%,0.00%
SDS-005352,Enhanced Gram Crystal Violet,"Thermo Fisher Scientific, Inc.",SDS-005352,,C.I. Basic Violet 1,548-62-9,Less Than (Max),0.00%,1.00%,0.50%,<1.0%,0.00%
SDS-005352,Enhanced Gram Crystal Violet,"Thermo Fisher Scientific, Inc.",SDS-005352,,Ammonium Oxalate Monohydrate,6009-70-7,Less Than (Max),0.00%,1.00%,0.50%,<1.0%,0.00%
SDS-005352,Enhanced Gram Crystal Violet,"Thermo Fisher Scientific, Inc.",SDS-005352,,Methyl Alcohol,67-56-1,Less Than (Max),0.00%,1.00%,0.50%,<1.0%,0.00%
SDS-001727,Enzymatic Creatinine_2,Siemens AG,SDS-001727,10121358,Edetic Acid, ,Blank (percentage not specified),0.00%,100.00%,50.00%, ,0.00%
SDS-001727,Enzymatic Creatinine_2,Siemens AG,SDS-001727,10121358,Sodium Azide,26628-22-8,n/a,0.10%,0.10%,0.10%,0.10%,0.00%
SDS-003206,Enzyme Reagent,"Hologic, Inc.",SDS-003206,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-001189,Enzyme Reconstitution Solution,"Hologic, Inc.",SDS-001189,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-005123,Eosin,"Leica Biosystems Richmond, Inc.",SDS-005123,,Ethanol,64-17-5,Less Than (Max),0.00%,70.00%,35.00%,<70%,0.00%
SDS-005123,Eosin,"Leica Biosystems Richmond, Inc.",SDS-005123,,Methanol,67-56-1,Less Than (Max),0.00%,5.00%,2.50%,<5%,0.00%
SDS-005123,Eosin,"Leica Biosystems Richmond, Inc.",SDS-005123,,Isopropanol,67-63-0,Less Than (Max),0.00%,5.00%,2.50%,<5%,0.00%
SDS-006026,Eosin Y disodium salt,Sigma-Aldrich Corp.,SDS-006026,,"Disodium 2-(2,4,5,7-Tetrabromo-6-Oxido-3-Oxoxanthen-9-yl)Benzoate",17372-87-1,Less Than (Max),0.00%,100.00%,50.00%,<=100%,0.00%
SDS-001190,Eosin Y (Disodium Salt),"Thermo Fisher Scientific, Inc.",SDS-001190,"51053, 10132458",Acid Red 87,17372-87-1,Greater Than (Min),95.00%,100.00%,97.50%,>95%,0.00%
SDS-005121,Eosin Y Powder,"Leica Biosystems Richmond, Inc.",SDS-005121,,Eosin Y Powder,17372-87-1,Pure Chemical,100.00%,100.00%,100.00%,100%,0.00%
SDS-005122,"Eosin Y solution, alcoholic",Sigma-Aldrich Corp.,SDS-005122,,Ethanol,64-17-5,n/a,89.55%,89.55%,89.55%,89.55%,0.00%
SDS-005122,"Eosin Y solution, alcoholic",Sigma-Aldrich Corp.,SDS-005122,,Hydrochloric Acid,7647-01-0,n/a,9.95%,9.95%,9.95%,9.95%,0.00%
SDS-005122,"Eosin Y solution, alcoholic",Sigma-Aldrich Corp.,SDS-005122,,"Disodium 2-(2,4,5,7-Tetrabromo-6-Oxido-3-Oxoxanthen-9-yl)Benzoate",17372-87-1,n/a,0.50%,0.50%,0.50%,0.50%,0.00%
SDS-006345,EP Cartridge for 8810/4215/ MRP/4219/MRP/4505/4505ps/4510/4510ps/4520/4520mp/Xerox Document Centre System 20 Dry Imager Cartridge/8808 Dry Imager CRU,Xerox Corp.,SDS-006345,,Iron Oxide,1309-38-2,Less Than (Max),0.00%,60.00%,30.00%,<60%,0.00%
SDS-006345,EP Cartridge for 8810/4215/ MRP/4219/MRP/4505/4505ps/4510/4510ps/4520/4520mp/Xerox Document Centre System 20 Dry Imager Cartridge/8808 Dry Imager CRU,Xerox Corp.,SDS-006345,,Iron Oxide,1317-61-9,Less Than (Max),0.00%,60.00%,30.00%,<60%,0.00%
SDS-006345,EP Cartridge for 8810/4215/ MRP/4219/MRP/4505/4505ps/4510/4510ps/4520/4520mp/Xerox Document Centre System 20 Dry Imager Cartridge/8808 Dry Imager CRU,Xerox Corp.,SDS-006345,,Styrene Acrylate Polymer,25767-47-9,Less Than (Max),0.00%,60.00%,30.00%,<60%,0.00%
SDS-006345,EP Cartridge for 8810/4215/ MRP/4219/MRP/4505/4505ps/4510/4510ps/4520/4520mp/Xerox Document Centre System 20 Dry Imager Cartridge/8808 Dry Imager CRU,Xerox Corp.,SDS-006345,,Polyolefin,9003-07-0,Less Than (Max),0.00%,5.00%,2.50%,<5%,0.00%
SDS-006345,EP Cartridge for 8810/4215/ MRP/4219/MRP/4505/4505ps/4510/4510ps/4520/4520mp/Xerox Document Centre System 20 Dry Imager Cartridge/8808 Dry Imager CRU,Xerox Corp.,SDS-006345,,Amorphous Silica,112945-52-5,Less Than (Max),0.00%,2.00%,1.00%,<2%,0.00%
SDS-006345,EP Cartridge for 8810/4215/ MRP/4219/MRP/4505/4505ps/4510/4510ps/4520/4520mp/Xerox Document Centre System 20 Dry Imager Cartridge/8808 Dry Imager CRU,Xerox Corp.,SDS-006345,,Amorphous Silica,7631-86-9,Less Than (Max),0.00%,2.00%,1.00%,<2%,0.00%
SDS-005909,(?)-Epinephrine,Sigma-Aldrich Corp.,SDS-005909,,Epinephrine,51-43-4,Less Than (Max),0.00%,100.00%,50.00%,?100.00%,0.00%
SDS-005912,(±)-Epinephrine-d3 (N-methyl-d3),"C/D/N Isotopes, Inc.",SDS-005912,,DL-EPINEPHRINE,329-65-7,Blank (percentage not specified),0.00%,100.00%,50.00%, ,0.00%
SDS-006027,(±)-Epinephrine-D6,Sigma-Aldrich Corp.,SDS-006027,,Methanol,67-56-1,n/a,96.34%,96.34%,96.34%,96.34%,0.00%
SDS-006027,(±)-Epinephrine-D6,Sigma-Aldrich Corp.,SDS-006027,,Hydrochloric Acid,7647-01-0,n/a,3.65%,3.65%,3.65%,3.65%,0.00%
SDS-006027,(±)-Epinephrine-D6,Sigma-Aldrich Corp.,SDS-006027,,Propranolol-D7,344298-99-3,n/a,0.01%,0.01%,0.01%,0.01%,0.00%
SDS-008337,EPISOFT FOAMING ANTIBACTERIAL LOTION SOAP,"Ecolab, Inc.",SDS-008337,,"Coconut Oil, Potassium Salt",68783-34-6,n/a,10.00%,30.00%,20.00%,10 - 30%,0.00%
SDS-008337,EPISOFT FOAMING ANTIBACTERIAL LOTION SOAP,"Ecolab, Inc.",SDS-008337,,Ethanol,64-17-5,n/a,5.00%,10.00%,7.50%,5 - 10%,0.00%
SDS-008337,EPISOFT FOAMING ANTIBACTERIAL LOTION SOAP,"Ecolab, Inc.",SDS-008337,,Glycerin,56-81-5,n/a,1.00%,5.00%,3.00%,1 - 5%,0.00%
SDS-008337,EPISOFT FOAMING ANTIBACTERIAL LOTION SOAP,"Ecolab, Inc.",SDS-008337,,ethylenediamine tetraacetate,64-02-8,n/a,1.00%,5.00%,3.00%,1 - 5%,0.00%
SDS-001191,EQAS Clinical Chemistry (Monthly) Program,"Bio-Rad Laboratories, Inc.",SDS-001191,,Sodium Chloride,7647-14-5,n/a,1.00%,2.50%,1.75%,1.0 - 2.5%,0.00%
SDS-002231,EQAS Immunoassay (Monthly) Program,"Bio-Rad Laboratories, Inc.",SDS-002231,,Sodium Acetate 3-Hydrate,6131-90-4,n/a,5.00%,10.00%,7.50%,5 - 10%,0.00%
SDS-002231,EQAS Immunoassay (Monthly) Program,"Bio-Rad Laboratories, Inc.",SDS-002231,,Sodium Chloride,7647-14-5,n/a,5.00%,10.00%,7.50%,5 - 10%,0.00%
SDS-002231,EQAS Immunoassay (Monthly) Program,"Bio-Rad Laboratories, Inc.",SDS-002231,,Phenobarbital,50-06-6,n/a,0.10%,1.00%,0.55%,0.1 - 1.0%,0.00%
SDS-001192,EQAS Immunoassay Program 2,"Bio-Rad Laboratories, Inc.",SDS-001192,,Estradiol,50-28-2,Blank (percentage not specified),0.00%,100.00%,50.00%, ,0.00%
SDS-001192,EQAS Immunoassay Program 2,"Bio-Rad Laboratories, Inc.",SDS-001192,,Urea,57-13-6,Blank (percentage not specified),0.00%,100.00%,50.00%, ,0.00%
SDS-001192,EQAS Immunoassay Program 2,"Bio-Rad Laboratories, Inc.",SDS-001192,,Progesterone,57-83-0,Blank (percentage not specified),0.00%,100.00%,50.00%, ,0.00%
SDS-001192,EQAS Immunoassay Program 2,"Bio-Rad Laboratories, Inc.",SDS-001192,,Testosterone,58-22-0,Blank (percentage not specified),0.00%,100.00%,50.00%, ,0.00%
SDS-001192,EQAS Immunoassay Program 2,"Bio-Rad Laboratories, Inc.",SDS-001192,,Creatinine,60-27-5,Blank (percentage not specified),0.00%,100.00%,50.00%, ,0.00%
SDS-001192,EQAS Immunoassay Program 2,"Bio-Rad Laboratories, Inc.",SDS-001192,,Uric Acid,69-93-2,Blank (percentage not specified),0.00%,100.00%,50.00%, ,0.00%
SDS-001192,EQAS Immunoassay Program 2,"Bio-Rad Laboratories, Inc.",SDS-001192,,Potassium Chloride,7447-40-7,Blank (percentage not specified),0.00%,100.00%,50.00%, ,0.00%
SDS-001192,EQAS Immunoassay Program 2,"Bio-Rad Laboratories, Inc.",SDS-001192,,Lithium Chloride,7447-41-8,Blank (percentage not specified),0.00%,100.00%,50.00%, ,0.00%
SDS-001192,EQAS Immunoassay Program 2,"Bio-Rad Laboratories, Inc.",SDS-001192,,Disodium Hydrogenorthophosphate,7558-79-4,Blank (percentage not specified),0.00%,100.00%,50.00%, ,0.00%
SDS-001192,EQAS Immunoassay Program 2,"Bio-Rad Laboratories, Inc.",SDS-001192,,Sodium Chloride,7647-14-5,n/a,5.00%,10.00%,7.50%,5-10%,0.00%
SDS-003227,ESBRITE,ESBE LABORATORY SUPPLIES LTD.,SDS-003227,10882,Sodium Carbonate,497-19-8,n/a,10.00%,25.00%,17.50%,10.00 - 25.00%,0.00%
SDS-003227,ESBRITE,ESBE LABORATORY SUPPLIES LTD.,SDS-003227,10882,Nonionic detergent, ,n/a,1.00%,10.00%,5.50%,1.00 - 10.00%,0.00%
SDS-003227,ESBRITE,ESBE LABORATORY SUPPLIES LTD.,SDS-003227,10882,Sodium Dodecylbenzene Sulfonate,25155-30-0,n/a,1.00%,10.00%,5.50%,1.00 - 10.00%,0.00%
SDS-007772,Estradiol,U.S. Pharmacopeial Convention,SDS-007772,,Estradiol,50-28-2,Pure Chemical,100.00%,100.00%,100.00%,100%,0.00%
SDS-004769,Estradiol Calibrator S0,"Beckman Coulter, Inc.",SDS-004769,,Sodium Azide,26628-22-8,Less Than (Max),0.00%,1.00%,0.50%,<0.1%,0.00%
SDS-008521,Estrone,"Sciencelab.Com, Inc.",SDS-008521,,Estrone,53-16-7,Pure Chemical,100.00%,100.00%,100.00%,100%,0.00%
SDS-007099,"Ethanol, 200 proof","Thermo Fisher Scientific, Inc.",SDS-007099,,Ethyl Alcohol,64-17-5,Pure Chemical,100.00%,100.00%,100.00%,99 - 100%,0.00%
SDS-001198,"Ethidium Bromide, 1% Solution/Molecular Biology","Thermo Fisher Scientific, Inc.",SDS-001198,51196,Water,7732-18-5,n/a,99.00%,99.00%,99.00%,99%,0.00%
SDS-001198,"Ethidium Bromide, 1% Solution/Molecular Biology","Thermo Fisher Scientific, Inc.",SDS-001198,51196,"3,8-Diamino-1-Ethyl-6-Phenylphenantridinium Bromide",1239-45-8,n/a,1.00%,1.00%,1.00%,1%,0.00%
SDS-006028,Ethyl 3-hydroxy-4-methoxy-mandelate,Sigma-Aldrich Corp.,SDS-006028,,Ethyl 3-Hydroxy-4-Methoxy-Mandelate,91971-78-7,Less Than (Max),0.00%,100.00%,50.00%,?100.00%,0.00%
SDS-004930,ETHYL ACETATE,Anachemia Canada Inc.,SDS-004930,,Ethyl Acetate,141-78-6,Pure Chemical,100.00%,100.00%,100.00%,100%,0.00%
SDS-007592,Ethyl acetate,Sigma-Aldrich Corp.,SDS-007592,,Ethyl Acetate,141-78-6,Less Than (Max),0.00%,100.00%,50.00%,<=100%,0.00%
SDS-008522,ETHYL ACETATE,"Avantor Performance Materials, Inc.",SDS-008522,,Ethyl Acetate,141-78-6,Pure Chemical,100.00%,100.00%,100.00%,99 - 100%,0.00%
SDS-006029,Ethyl Acetate,Merck KGaA,SDS-006029,,Ethyl Acetate,141-78-6,Pure Chemical,100.00%,100.00%,100.00%,100%,0.00%
SDS-002580,Ethyl acetate,"Thermo Fisher Scientific, Inc.",SDS-002580,51052,EthylAcetate,141-78-6,Greater Than (Min),95.00%,100.00%,97.50%,>95%,0.00%
SDS-007490,Ethyl acetate,"Thermo Fisher Scientific, Inc.",SDS-007490,,Ethyl Acetate,141-78-6,Greater Than (Min),95.00%,100.00%,97.50%,>95%,0.00%
SDS-005206,"Ethyl Acetate For HPLC, Spectrophotometry, <br/>Gas Chromatography and <br/>Residue Analysis OmniSolv",Merck KGaA,SDS-005206,,Ethyl Acetate,141-78-6,n/a,90.00%,100.00%,95.00%,>=90-<=100%,0.00%
